trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
28,{'weight_decay': 0.001},Adam,512.0,8.0,7.0,0.2,LeakyReLU,128.0,32.0,DANetModel,0.6329025030136108,0.6329025030136108,0.6440678238868713,0.6428571343421936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,{'weight_decay': 0.001},Adam,256.0,8.0,5.0,0.2,GELU,32.0,64.0,DANetModel,0.5973324179649353,0.5973324179649353,0.7118644118309021,0.6979949474334717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,{'weight_decay': 0.001},Adam,512.0,4.0,3.0,0.1,GELU,64.0,16.0,DANetModel,0.6500610709190369,0.6500610709190369,0.6440678238868713,0.4786967635154724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,{'weight_decay': 0.01},Adam,256.0,4.0,3.0,0.2,LeakyReLU,32.0,32.0,DANetModel,0.6309236884117126,0.6309236884117126,0.6610169410705566,0.6591478586196899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,{'weight_decay': 0.01},AdamW,256.0,6.0,3.0,0.2,ReLU,64.0,32.0,DANetModel,0.6453709006309509,0.6453709006309509,0.6440678238868713,0.5639097690582275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,{'weight_decay': 0.001},AdamW,256.0,8.0,7.0,0.1,LeakyReLU,128.0,32.0,DANetModel,0.6489259004592896,0.6489259004592896,0.6271186470985413,0.6491228342056274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,{'weight_decay': 0.01},AdamW,512.0,6.0,3.0,0.1,GELU,32.0,64.0,DANetModel,0.6451374888420105,0.6451374888420105,0.6440678238868713,0.5989974737167358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,{'weight_decay': 0.01},AdamW,512.0,4.0,5.0,0.0,ReLU,64.0,32.0,DANetModel,0.6401878595352173,0.6401878595352173,0.6440678238868713,0.6729323267936707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,{'weight_decay': 0.01},Adam,256.0,6.0,3.0,0.1,GELU,128.0,16.0,DANetModel,0.6576208472251892,0.6576208472251892,0.6440678238868713,0.3709273338317871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,{'weight_decay': 0.001},Adam,128.0,4.0,5.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.603003203868866,0.603003203868866,0.6610169410705566,0.6804510951042175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
